timestamp,event
2025-10-08 19:24:52,Connected to COM5
2025-10-08 19:24:52,✅ Failsafe cleared after heartbeat recovery
2025-10-08 19:25:08,SET: target_temp → 37.00°C
2025-10-08 19:25:20,SET: target_temp → 35.00°C
2025-10-08 19:25:31,CMD: pid → start
2025-10-08 19:25:31,🚀 Asymmetric PID started
2025-10-08 19:25:52,SET: pid_max_output → 100.0%
2025-10-08 19:26:13,SET: target_temp → 10.00°C
2025-10-08 19:26:13,❄️ Switched to cooling mode
2025-10-08 19:26:58,SET: target_temp → 18.00°C
